date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-07-07,11.9,12.17,12.05,11.69,65813.01,0.05,0.42,12.05,12.05,12.05,65813.01,65813.01,65813.01,1.47
2021-07-08,12.05,12.61,12.6,11.95,101906.02,0.55,4.56,12.325,12.325,12.325,83859.52,83859.52,83859.52,2.27
2021-07-09,12.41,12.6,12.48,12.03,99809.39,-0.12,-0.95,12.377,12.377,12.377,89176.14,89176.14,89176.14,2.22
2021-07-12,13.72,13.73,13.73,13.02,190346.53,1.25,10.02,12.715,12.715,12.715,114468.74,114468.74,114468.74,4.24
2021-07-13,14.44,14.51,14.21,13.62,287811.06,0.48,3.5,13.014,13.014,13.014,149137.2,149137.2,149137.2,6.41
2021-07-14,14.0,15.63,15.63,13.98,203007.78,1.42,9.99,13.73,13.45,13.45,176576.16,158115.63,158115.63,4.52
2021-07-15,16.2,16.77,15.99,15.23,280419.28,0.36,2.3,14.408,13.813,13.813,212278.81,175587.58,175587.58,6.25
2021-07-16,15.97,16.98,16.82,15.71,212589.28,0.83,5.19,15.276,14.189,14.189,234834.79,180212.79,180212.79,4.74
2021-07-19,16.51,17.47,15.9,15.21,253830.95,-0.92,-5.47,15.71,14.379,14.379,247531.67,188392.59,188392.59,5.66
2021-07-20,15.79,16.18,15.95,15.56,122307.25,0.05,0.31,16.058,14.536,14.536,214430.91,181784.06,181784.06,2.73
2021-07-21,16.26,17.48,16.99,15.88,155568.23,1.04,6.52,16.33,15.03,14.759,204943.0,190759.58,179400.8,3.47
2021-07-22,17.0,17.2,16.87,16.59,100514.57,-0.12,-0.71,16.506,15.457,14.935,168962.06,190620.43,172826.95,2.24
2021-07-23,16.95,17.0,16.75,16.43,89588.52,-0.12,-0.71,16.492,15.884,15.075,144361.9,189598.35,166423.99,2.0
2021-07-26,16.7,16.79,16.19,15.55,102259.06,-0.56,-3.34,16.55,16.13,15.154,114047.53,180789.6,161840.78,2.28
2021-07-27,16.24,16.45,15.01,14.99,113298.12,-1.18,-7.29,16.362,16.21,15.145,112245.7,163338.3,158604.6,2.53
2021-07-28,14.65,15.32,15.01,13.82,109686.42,0.0,0.0,15.966,16.148,15.136,103069.34,154006.17,155547.22,2.44
2021-07-29,15.33,16.16,15.8,15.16,99410.27,0.79,5.26,15.752,16.129,15.175,102848.48,135905.27,152245.04,2.22
