date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-06-15,10.2,10.2,9.67,9.6,30074.07,-0.32,-3.2,9.67,9.67,9.67,30074.07,30074.07,30074.07,1.26
2021-06-16,9.66,10.07,9.85,9.51,22656.1,0.18,1.86,9.76,9.76,9.76,26365.09,26365.09,26365.09,0.95
2021-06-17,9.86,10.33,10.06,9.72,31007.1,0.21,2.13,9.86,9.86,9.86,27912.42,27912.42,27912.42,1.3
2021-06-18,10.18,10.18,9.78,9.72,34074.11,-0.28,-2.78,9.84,9.84,9.84,29452.85,29452.85,29452.85,1.43
2021-06-21,9.71,9.83,9.62,9.53,24754.1,-0.16,-1.64,9.796,9.796,9.796,28513.1,28513.1,28513.1,1.04
2021-06-22,9.64,9.84,9.7,9.61,15435.1,0.08,0.83,9.802,9.78,9.78,25585.3,26333.43,26333.43,0.65
2021-06-23,9.72,9.77,9.6,9.56,20969.0,-0.1,-1.03,9.752,9.754,9.754,25247.88,25567.08,25567.08,0.88
2021-06-24,9.6,9.63,9.35,9.29,24354.02,-0.25,-2.6,9.61,9.704,9.704,23917.27,25415.45,25415.45,1.02
2021-06-25,9.37,9.37,9.22,9.13,22958.0,-0.13,-1.39,9.498,9.65,9.65,21694.04,25142.4,25142.4,0.96
2021-06-28,9.24,9.61,9.37,9.19,19287.01,0.15,1.63,9.448,9.622,9.622,20600.63,24556.86,24556.86,0.81
2021-06-29,9.4,9.48,9.36,9.25,16040.0,-0.01,-0.11,9.38,9.591,9.598,20721.61,23153.45,23782.6,0.67
2021-06-30,9.38,9.47,9.3,9.24,14227.0,-0.06,-0.64,9.32,9.536,9.573,19373.21,22310.54,22986.3,0.6
2021-07-01,9.34,9.42,8.94,8.92,21450.0,-0.36,-3.87,9.238,9.424,9.525,18792.4,21354.83,22868.12,0.9
2021-07-02,9.03,9.34,9.2,8.83,21171.33,0.26,2.91,9.234,9.366,9.501,18435.07,20064.56,22746.92,0.89
2021-07-05,9.22,9.6,9.55,9.21,30992.44,0.35,3.8,9.27,9.359,9.505,20776.15,20688.39,23296.63,1.3
2021-07-06,9.62,9.62,9.44,9.35,15620.24,-0.11,-1.15,9.286,9.333,9.501,20692.2,20706.9,22816.85,0.66
2021-07-07,9.47,9.49,9.41,9.34,18176.96,-0.03,-0.32,9.308,9.314,9.495,21482.19,20427.7,22543.92,0.76
2021-07-08,9.36,9.46,9.26,9.22,13318.56,-0.15,-1.59,9.372,9.305,9.482,19855.91,19324.15,22031.4,0.56
2021-07-09,9.7,9.7,9.59,9.38,34607.56,0.33,3.56,9.45,9.342,9.488,22543.15,20489.11,22693.3,1.45
2021-07-12,9.68,10.55,10.18,9.5,62437.09,0.59,6.15,9.576,9.423,9.523,28832.08,24804.12,24680.49,2.62
2021-07-13,10.11,10.15,9.91,9.9,32557.0,-0.27,-2.65,9.67,9.478,9.535,32219.43,26455.82,24804.64,1.37
2021-07-14,9.9,10.16,10.0,9.75,20756.83,0.09,0.91,9.788,9.548,9.542,32735.41,27108.8,24709.67,0.87
2021-07-15,9.95,10.08,10.07,9.85,15692.03,0.07,0.7,9.95,9.661,9.543,33210.1,26533.0,23943.92,0.66
2021-07-16,10.2,10.41,10.07,10.03,25830.24,0.0,0.0,10.046,9.748,9.557,31454.64,26998.9,23531.73,1.09
2021-07-19,9.96,9.96,9.32,9.25,42913.12,-0.75,-7.45,9.874,9.725,9.542,27549.84,28190.96,24439.68,1.8
2021-07-20,9.3,9.46,9.35,9.16,18446.0,0.03,0.32,9.762,9.716,9.525,24727.64,28473.54,24590.22,0.78
2021-07-21,9.35,9.72,9.39,9.32,18801.8,0.04,0.43,9.64,9.714,9.514,24336.64,28536.02,24481.86,0.79
2021-07-22,9.41,9.5,9.28,9.28,17500.41,-0.11,-1.17,9.482,9.716,9.511,24698.31,28954.21,24139.18,0.74
2021-07-23,9.35,9.38,9.21,9.13,15020.34,-0.07,-0.75,9.31,9.678,9.51,22536.33,26995.49,23742.3,0.63
2021-07-26,9.19,9.2,8.29,8.29,64700.1,-0.92,-9.99,9.104,9.489,9.456,26893.73,27221.79,26012.95,2.72
2021-07-27,8.28,8.63,8.3,8.2,34859.81,0.01,0.12,8.894,9.328,9.403,30176.49,27452.07,26953.94,1.46
2021-07-28,8.31,8.36,8.11,7.8,19556.1,-0.19,-2.29,8.638,9.139,9.344,30327.35,27332.0,27220.4,0.82
2021-07-29,8.15,8.31,8.14,8.07,22580.38,0.03,0.37,8.41,8.946,9.304,31343.35,28020.83,27276.92,0.95
2021-07-30,8.22,8.44,8.3,8.08,25061.8,0.16,1.97,8.228,8.769,9.259,33351.64,27943.99,27471.44,1.05
2021-08-02,8.28,8.45,8.36,8.2,19337.11,0.06,0.72,8.242,8.673,9.199,24279.04,25586.39,26888.67,0.81
2021-08-03,8.36,8.42,8.37,8.32,17511.0,0.01,0.12,8.256,8.575,9.146,20809.28,25492.89,26983.21,0.74
2021-08-04,8.66,9.12,8.51,8.4,48305.78,0.14,1.67,8.336,8.487,9.101,26559.21,28443.28,28489.65,2.03
2021-08-05,8.38,8.44,8.13,8.11,39163.0,-0.38,-4.46,8.334,8.372,9.044,29875.74,30609.54,29781.88,1.65
2021-08-06,8.1,8.16,8.09,7.98,22297.42,-0.04,-0.49,8.292,8.26,8.969,29322.86,31337.25,29166.37,0.94
2021-08-09,8.08,8.27,8.21,8.06,18889.24,0.12,1.48,8.262,8.252,8.871,29233.29,26756.16,26988.98,0.79
2021-08-10,8.2,8.34,8.27,8.17,20232.02,0.06,0.73,8.242,8.249,8.789,29777.49,25293.39,26372.73,0.85
