date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2022-01-04,70.99,73.57,72.0,69.46,30685.19,1.63,2.32,71.802,71.242,68.573,36428.35,38327.38,43365.31,20.46
2022-01-05,71.0,75.55,75.0,70.25,39373.38,3.0,4.17,72.106,71.367,69.817,34959.94,38201.97,44906.72,26.25
2022-01-06,73.27,73.35,65.57,60.0,33492.51,-9.43,-12.57,71.22,70.777,70.532,35480.3,36663.36,46157.35,22.33
2022-01-07,64.8,67.99,61.95,61.0,29297.71,-3.62,-5.52,68.978,70.08,71.044,33029.73,35433.69,47118.05,19.53
2022-01-10,61.1,62.84,62.36,58.8,17544.54,0.41,0.66,67.376,69.588,71.059,30078.67,34339.21,45231.18,11.7
2022-01-11,62.93,62.93,60.15,59.8,20321.72,-2.21,-3.54,65.006,68.404,70.343,28005.97,32217.16,43289.55,13.55
2022-01-12,60.31,61.95,61.48,59.26,15129.56,1.33,2.21,62.302,67.204,69.762,23157.21,29058.58,39287.81,10.09
2022-01-13,61.02,63.3,60.89,60.6,20018.04,-0.59,-0.96,61.366,66.293,69.405,20462.31,27971.31,37249.17,13.35
2022-01-14,60.12,63.2,60.65,60.12,20055.99,-0.24,-0.39,61.106,65.042,68.355,18613.97,25821.85,34310.09,13.37
2022-01-17,61.5,64.27,63.36,61.0,25863.9,2.71,4.47,61.306,64.341,67.798,20277.84,25178.25,32437.02,17.24
2022-01-18,62.9,63.0,59.34,58.31,26709.77,-4.02,-6.34,61.144,63.075,67.159,21555.45,24780.71,31554.05,17.81
2022-01-19,59.3,61.35,60.49,58.81,15796.11,1.15,1.94,60.946,61.624,66.496,21688.76,22422.99,30312.48,10.53
2022-01-20,59.82,60.68,57.0,56.88,18313.87,-3.49,-5.77,60.168,60.767,65.772,21347.93,20905.12,28784.24,12.21
2022-01-21,56.85,58.16,56.44,56.27,12159.88,-0.56,-0.98,59.326,60.216,65.148,19768.71,19191.34,27312.52,8.11
2022-01-24,55.63,58.7,57.0,55.5,10620.16,0.56,0.99,58.054,59.68,64.634,16719.96,18498.9,26419.06,7.08
2022-01-25,56.4,57.45,54.18,54.0,12804.64,-2.82,-4.95,57.022,59.083,63.744,13938.93,17747.19,24982.18,8.54
2022-01-26,54.37,56.36,54.8,53.91,9125.4,0.62,1.14,55.884,58.415,62.81,12604.79,17146.78,23102.68,6.08
2022-01-27,54.5,54.8,52.3,52.18,10274.0,-2.5,-4.56,54.944,57.556,61.925,10996.82,16172.37,22071.84,6.85
2022-01-28,53.58,54.28,53.29,52.6,8530.87,0.99,1.89,54.314,56.82,60.931,10271.01,15019.86,20420.86,5.69
2022-02-07,53.8,55.85,55.85,52.0,15597.4,2.56,4.8,54.084,56.069,60.205,11266.46,13993.21,19585.73,10.4
2022-02-08,57.99,57.99,55.3,54.24,20326.2,-0.55,-0.98,54.308,55.665,59.37,12770.77,13354.85,19067.78,13.55
2022-02-09,54.24,55.49,55.12,53.66,15249.0,-0.18,-0.33,54.372,55.128,58.376,13995.49,13300.14,17861.56,10.17
2022-02-10,54.94,58.32,56.39,54.85,23435.0,1.27,2.3,55.19,55.067,57.917,16627.69,13812.26,17358.69,15.62
2022-02-11,56.91,56.91,52.73,52.48,21436.23,-3.66,-6.49,55.078,54.696,57.456,19208.77,14739.89,16965.61,14.29
2022-02-14,51.23,52.69,51.49,50.06,11875.75,-1.24,-2.35,54.206,54.145,56.913,18464.44,14865.45,16682.17,7.92
2022-02-15,51.5,52.8,51.49,51.02,8984.45,0.0,0.0,53.444,53.876,56.48,16196.09,14483.43,16115.31,5.99
2022-02-16,51.5,60.8,58.27,51.32,38881.95,6.78,13.17,54.074,54.223,56.319,20922.68,17459.09,17302.93,25.92
2022-02-17,58.0,58.5,56.62,56.2,26518.04,-1.65,-2.83,54.12,54.655,56.106,21539.28,19083.49,17627.93,17.68
2022-02-18,56.87,56.87,55.64,54.35,16539.3,-0.98,-1.73,54.702,54.89,55.855,20559.9,19884.33,17452.1,11.03
2022-02-21,55.79,56.27,56.27,54.88,13418.84,0.63,1.13,55.658,54.932,55.501,20868.52,19666.48,16829.84,8.95
2022-02-22,55.8,55.83,52.27,51.83,19203.79,-4.0,-7.11,55.814,54.629,55.147,22912.38,19554.24,16454.54,12.8
2022-02-23,52.28,53.44,53.12,51.93,10990.45,0.85,1.63,54.784,54.429,54.779,17334.08,19128.38,16214.26,7.33
2022-02-24,52.75,53.25,49.43,48.2,19706.65,-3.69,-6.95,53.346,53.733,54.4,15971.81,18755.55,16283.9,13.14
2022-02-25,49.71,51.27,49.7,49.3,9732.43,0.27,0.55,52.158,53.43,54.063,14610.43,17585.17,16162.53,6.49
2022-02-28,50.0,50.15,49.3,48.25,7955.99,-0.4,-0.81,50.764,53.211,53.678,13517.86,17193.19,16029.32,4.68
2022-03-01,49.34,49.88,49.53,48.84,6988.02,0.23,0.47,50.216,53.015,53.446,11074.71,16993.55,15738.49,4.11
2022-03-02,49.09,50.5,49.79,48.82,7950.0,0.26,0.53,49.55,52.167,53.195,10466.62,13900.35,15679.72,4.68
2022-03-03,50.37,50.45,48.89,48.71,9873.27,-0.9,-1.81,49.442,51.394,53.025,8499.94,12235.87,15659.68,5.81
2022-03-04,48.89,51.96,50.79,48.61,20511.37,1.9,3.89,49.66,50.909,52.9,10655.73,12633.08,16258.71,12.06
2022-03-07,50.76,50.76,49.61,48.85,11572.87,-1.18,-2.32,49.722,50.243,52.588,11379.11,12448.48,16057.48,6.81
2022-03-08,49.27,49.61,45.9,45.9,13920.15,-3.71,-7.48,48.996,49.606,52.118,12765.53,11920.12,15737.18,8.19
2022-03-09,46.68,47.46,46.79,44.0,12365.0,0.89,1.94,48.396,48.973,51.701,13648.53,12057.58,15592.98,7.27
2022-03-10,47.33,48.8,47.6,47.02,10916.01,0.81,1.73,48.138,48.79,51.262,13857.08,11178.51,14967.03,6.42
2022-03-11,46.69,48.0,47.96,46.22,8300.88,0.36,0.76,47.572,48.616,51.023,11414.98,11035.36,14310.26,4.88
2022-03-14,47.42,48.66,47.3,46.51,8379.65,-0.66,-1.38,47.11,48.416,50.814,10776.34,11077.72,14135.46,4.93
2022-03-15,46.87,48.27,45.76,45.69,11245.65,-1.54,-3.26,47.082,48.039,50.527,10241.44,11503.49,14248.52,6.61
2022-03-16,45.89,48.25,48.21,45.3,13752.59,2.45,5.35,47.366,47.881,50.024,10518.96,12083.74,12992.05,8.09
2022-03-17,48.34,50.15,48.91,47.3,18619.01,0.7,1.45,47.628,47.883,49.639,12059.56,12958.32,12597.1,10.95
2022-03-18,48.01,50.96,50.58,47.64,19647.73,1.67,3.41,48.152,47.862,49.386,14328.93,12871.95,12752.52,11.55
2022-03-21,50.8,51.34,51.2,50.0,20091.0,0.62,1.23,48.932,48.021,49.132,16671.2,13723.77,13086.13,11.81
2022-03-22,50.45,52.1,51.5,49.88,16691.41,0.3,0.59,50.08,48.581,49.094,17760.35,14000.89,12960.51,9.82
2022-03-23,51.01,53.1,50.8,50.04,17059.52,-0.7,-1.36,50.598,48.982,48.978,18421.73,14470.35,13263.96,10.03
2022-03-24,50.2,50.89,49.72,49.63,12093.49,-1.08,-2.13,50.76,49.194,48.992,17116.63,14588.09,12883.3,7.11
2022-03-25,49.8,52.96,51.79,49.69,20758.78,2.07,4.16,51.002,49.577,49.097,17338.84,15833.88,13434.62,12.21
2022-03-28,53.0,53.86,51.82,51.56,28337.7,0.03,0.06,51.126,50.029,49.223,18988.18,17829.69,14453.71,16.66
2022-03-29,52.0,53.26,51.16,51.0,17241.69,-0.66,-1.27,51.058,50.569,49.304,19098.24,18429.29,14966.39,10.14
2022-03-30,51.35,51.85,51.39,50.6,12799.63,0.23,0.45,51.176,50.887,49.384,18246.26,18334.0,15208.87,7.53
2022-03-31,50.89,52.7,50.52,50.5,13958.0,-0.87,-1.69,51.336,51.048,49.466,18619.16,17867.9,15413.11,8.21
2022-04-01,50.01,53.58,52.56,49.37,24433.45,2.04,4.04,51.49,51.246,49.554,19354.09,18346.47,15609.21,14.37
2022-04-06,52.98,55.08,52.41,52.24,24129.07,-0.15,-0.28,51.608,51.367,49.694,18512.37,18750.27,16237.02,14.19
2022-04-07,52.11,54.5,52.21,52.1,18015.86,-0.2,-0.38,51.818,51.438,50.01,18667.2,18882.72,16441.81,10.59
2022-04-08,52.18,54.48,52.29,51.33,23924.44,0.08,0.15,51.998,51.587,50.285,20892.16,19569.21,17019.78,14.07
2022-04-11,51.25,51.5,46.39,46.0,21224.47,-5.9,-11.28,51.172,51.254,50.224,22345.46,20482.31,17535.2,12.48
2022-04-12,46.95,49.59,49.5,46.15,18858.08,3.11,6.7,50.56,51.025,50.301,21230.38,20292.24,18063.06,11.09
2022-04-13,49.47,49.7,46.5,46.23,14052.77,-3.0,-6.06,49.378,50.493,50.261,19215.12,18863.75,18346.72,8.26
2022-04-14,46.69,47.21,45.72,45.62,9321.0,-0.78,-1.68,48.08,49.949,50.259,17476.15,18071.68,18250.48,5.48
2022-04-15,45.51,45.9,42.82,42.2,11886.98,-2.9,-6.34,46.186,49.092,49.99,15068.66,17980.41,18157.2,6.99
2022-04-18,42.25,43.15,42.7,41.67,5929.0,-0.12,-0.28,45.448,48.31,49.679,12009.57,17177.51,17522.7,3.49
2022-04-19,42.7,43.24,43.06,42.01,7795.0,0.36,0.84,44.16,47.36,49.303,9796.95,15513.67,16930.07,4.58
2022-04-20,43.0,44.26,42.46,42.22,10166.59,-0.6,-1.39,43.352,46.365,48.866,9019.71,14117.42,16433.85,5.98
2022-04-21,42.68,42.88,40.56,40.31,9480.93,-1.9,-4.47,42.32,45.2,48.319,9051.7,13263.93,16073.32,5.58
2022-04-22,40.44,41.18,40.44,39.77,6253.99,-0.12,-0.3,41.844,44.015,47.801,7925.1,11496.88,15533.05,3.68
2022-04-25,39.8,39.8,36.71,36.52,9490.37,-3.73,-9.22,40.646,43.047,47.151,8637.38,10323.47,15402.89,5.58
2022-04-26,36.76,38.38,37.06,36.57,9519.38,0.35,0.95,39.446,41.803,46.414,8982.25,9389.6,14840.92,5.6
2022-04-27,30.76,33.5,33.31,30.76,20433.0,-3.75,-10.12,37.616,40.484,45.489,11035.53,10027.62,14445.69,12.02
2022-04-28,32.5,32.82,31.07,30.53,12960.95,-2.24,-6.72,35.718,39.019,44.484,11731.54,10391.62,14231.65,7.62
2022-04-29,31.39,33.45,33.1,31.36,11576.9,2.03,6.53,34.25,38.047,43.57,12796.12,10360.61,14170.51,6.81
2022-05-05,34.14,34.14,33.67,32.85,8834.0,0.57,1.72,33.642,37.144,42.727,12664.85,10651.11,13914.31,5.2
2022-05-06,33.0,33.98,33.2,32.33,6704.95,-0.47,-1.4,32.87,36.158,41.759,12101.96,10542.11,13027.89,3.94
2022-05-09,33.29,34.97,34.45,33.29,6525.87,1.25,3.77,33.098,35.357,40.861,9320.53,10178.03,12147.73,3.84
2022-05-10,34.3,41.34,41.34,34.11,10836.0,6.89,20.0,35.152,35.435,40.318,8895.54,10313.54,11788.73,6.37
2022-05-11,44.91,46.91,41.68,41.5,39627.94,0.34,0.82,36.868,35.559,39.787,14505.75,13650.94,12573.91,23.3
2022-05-12,41.69,42.48,40.41,39.49,27145.7,-1.27,-3.05,38.216,35.929,39.488,18168.09,15416.47,12869.97,15.96
2022-05-13,42.0,43.17,41.77,40.82,25411.08,1.36,3.37,39.93,36.4,39.102,21909.32,17005.64,13197.62,14.94
2022-05-16,42.0,46.69,44.75,40.61,38693.77,2.98,7.13,41.99,37.544,39.014,28342.9,18831.72,14429.67,22.75
2022-05-17,43.99,43.99,42.92,41.28,26790.49,-1.83,-4.09,42.306,38.729,38.874,31533.8,20214.67,15303.14,15.75
2022-05-18,42.97,44.8,43.45,42.1,25161.95,0.53,1.24,42.66,39.764,38.906,28640.6,21573.18,15966.89,14.8
2022-05-19,42.8,43.79,43.19,41.8,20752.9,-0.26,-0.6,43.216,40.716,38.93,27362.04,22765.07,16708.09,12.2
2022-05-20,43.4,44.55,43.91,42.33,21320.03,0.72,1.67,43.644,41.787,38.973,26543.83,24226.57,17384.34,12.54
2022-05-23,43.88,44.49,42.85,42.3,20239.21,-1.06,-2.41,43.264,42.627,38.992,22852.92,25597.91,17887.97,11.9
2022-05-24,43.23,43.85,40.3,40.3,17440.08,-2.55,-5.95,42.74,42.523,38.979,20982.83,26258.32,18285.93,10.26
2022-05-25,40.34,42.35,42.0,40.34,14601.0,1.7,4.22,42.45,42.555,39.057,18870.64,23755.62,18703.28,8.59
2022-05-26,42.01,43.2,42.5,41.81,15867.18,0.5,1.19,42.312,42.764,39.347,17893.5,22627.77,19022.12,9.33
2022-05-27,42.62,42.8,41.9,41.43,9896.3,-0.6,-1.41,41.91,42.777,39.589,15608.75,21076.29,19040.97,5.82
2022-05-30,41.89,41.99,41.29,40.57,7963.55,-0.61,-1.46,41.598,42.431,39.988,13153.62,18003.27,18417.49,4.68
2022-05-31,41.69,41.69,41.3,40.24,7671.0,0.01,0.02,41.798,42.269,40.499,11199.81,16091.32,18153.0,4.51
2022-06-01,41.88,41.97,41.08,40.56,6420.55,-0.22,-0.53,41.614,42.032,40.898,9563.72,14217.18,17895.18,3.78
2022-06-02,41.08,41.1,40.81,40.39,6039.74,-0.27,-0.66,41.276,41.794,41.255,7598.23,12745.86,17755.46,3.55
2022-06-06,40.7,41.49,40.9,40.59,5981.0,0.09,0.22,41.076,41.493,41.64,6815.17,11211.96,17719.27,3.52
2022-06-07,41.25,41.25,39.26,38.9,12745.0,-1.64,-4.01,40.67,41.134,41.881,7771.46,10462.54,18030.22,7.49
2022-06-08,39.66,39.69,38.3,37.64,7522.0,-0.96,-2.44,40.07,40.934,41.729,7741.66,9470.73,17864.52,4.42
2022-06-09,38.31,38.52,37.05,37.05,6205.0,-1.25,-3.26,39.264,40.439,41.497,7698.55,8631.13,16193.38,3.65
2022-06-10,36.97,37.5,37.26,36.76,4878.0,0.21,0.57,38.554,39.915,41.34,7466.2,7532.21,15079.99,2.87
2022-06-13,37.16,37.67,36.95,36.46,5335.7,-0.31,-0.83,37.764,39.42,41.099,7337.14,7076.15,14076.22,3.14
2022-06-14,36.75,36.8,36.26,35.01,6750.4,-0.69,-1.87,37.164,38.917,40.674,6138.22,6954.84,12479.05,3.97
2022-06-15,36.25,37.09,36.27,36.22,5836.7,0.01,0.03,36.758,38.414,40.342,5801.16,6771.41,11431.36,3.43
2022-06-16,36.27,38.6,37.92,36.22,15660.44,1.65,4.55,36.932,38.098,40.065,7692.25,7695.4,10956.29,9.21
2022-06-17,37.5,37.96,37.28,36.81,9976.34,-0.64,-1.69,36.936,37.745,39.77,8711.92,8089.06,10417.46,5.87
2022-06-20,37.72,39.16,38.86,37.33,14300.08,1.58,4.24,37.318,37.541,39.517,10504.79,8920.97,10066.46,8.41
2022-06-21,39.14,40.65,39.6,38.76,15173.21,0.74,1.9,37.986,37.575,39.355,12189.35,9163.79,9813.16,8.92
2022-06-22,39.6,39.83,37.91,37.61,12964.93,-1.69,-4.27,38.314,37.536,39.235,13615.0,9708.08,9589.41,7.62
2022-06-23,37.7,38.18,37.98,37.4,6368.38,0.07,0.18,38.326,37.629,39.034,11756.59,9724.42,9177.78,3.75
2022-06-24,38.19,39.33,38.73,38.1,8346.0,0.75,1.98,38.616,37.776,38.846,11430.52,10071.22,8801.72,4.91
2022-06-27,38.73,39.79,38.88,38.66,7923.51,0.15,0.39,38.62,37.969,38.695,10155.21,10330.0,8703.08,4.66
2022-06-28,39.07,39.5,39.43,38.33,9226.51,0.55,1.42,38.586,38.286,38.602,8965.87,10577.61,8766.22,5.43
2022-06-29,39.5,40.74,39.63,39.02,16561.03,0.2,0.51,38.93,38.622,38.518,9685.09,11650.04,9210.73,9.74
2022-06-30,40.0,40.7,39.83,39.13,13175.0,0.2,0.51,39.3,38.813,38.456,11046.41,11401.5,9548.45,7.75
