date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2022-01-04,12.92,13.45,13.39,12.81,64031.82,0.58,4.53,13.03,13.367,13.334,48161.31,66786.16,63751.86,11.2
2022-01-05,13.37,13.99,13.65,12.92,86117.48,0.26,1.94,13.152,13.352,13.38,54111.54,69960.63,65979.87,15.06
2022-01-06,13.36,13.61,13.42,13.2,65149.44,-0.23,-1.69,13.214,13.29,13.41,59910.89,67042.54,67458.96,11.39
2022-01-07,13.38,13.55,12.62,12.58,74849.74,-0.8,-5.96,13.178,13.134,13.396,64118.99,63892.61,68981.2,13.09
2022-01-10,12.66,12.92,12.9,12.4,35885.0,0.28,2.22,13.196,13.071,13.391,65206.7,59715.61,68967.54,6.28
2022-01-11,12.96,13.06,12.82,12.72,31613.36,-0.08,-0.62,13.082,13.056,13.38,58723.0,53442.16,67940.74,5.53
2022-01-12,12.85,13.06,13.0,12.77,31761.6,0.18,1.4,12.952,13.052,13.357,47851.83,50981.69,65733.34,5.56
2022-01-13,12.94,13.09,12.86,12.83,22837.0,-0.14,-1.08,12.84,13.027,13.32,39389.34,49650.12,62871.13,3.99
2022-01-14,12.86,12.96,12.69,12.58,28743.0,-0.17,-1.32,12.854,13.016,13.254,30167.99,47143.49,59873.19,5.03
2022-01-17,12.69,12.88,12.83,12.62,20364.79,0.14,1.1,12.84,13.018,13.209,27063.95,46135.32,56747.11,3.56
2022-01-18,12.79,12.84,12.31,12.21,51405.51,-0.52,-4.05,12.738,12.91,13.139,31022.38,44872.69,55829.42,8.99
2022-01-19,12.36,12.38,12.34,12.18,22023.0,0.03,0.24,12.606,12.779,13.066,29074.66,38463.24,54211.94,3.85
2022-01-20,12.31,12.31,11.87,11.83,32528.07,-0.47,-3.81,12.408,12.624,12.957,31012.87,35201.11,51121.82,5.69
2022-01-21,11.82,11.98,11.65,11.6,19396.91,-0.22,-1.85,12.2,12.527,12.831,29143.66,29655.82,46774.22,3.39
2022-01-24,11.42,11.59,11.49,11.3,29435.05,-0.16,-1.37,11.932,12.386,12.729,30957.71,29010.83,44363.22,4.88
2022-01-25,11.39,11.47,10.96,10.91,28795.52,-0.53,-4.61,11.662,12.2,12.628,26435.71,28729.05,41085.6,4.78
2022-01-26,10.96,11.15,11.06,10.94,15499.39,0.1,0.91,11.406,12.006,12.529,25130.99,27102.82,39042.25,2.57
2022-01-27,11.12,11.12,10.55,10.51,23322.0,-0.51,-4.61,11.142,11.775,12.401,23289.77,27151.32,38400.72,3.87
2022-01-28,10.77,11.17,11.1,10.65,32451.38,0.55,5.21,11.032,11.616,12.316,25900.67,27522.16,37332.83,5.38
2022-02-07,11.29,11.49,11.33,11.15,23216.16,0.23,2.07,11.0,11.466,12.242,24656.89,27807.3,36971.31,3.85
2022-02-08,11.25,11.53,11.48,11.23,19534.65,0.15,1.32,11.104,11.383,12.147,22804.72,24620.21,34746.45,3.24
2022-02-09,11.53,12.12,11.81,11.42,41312.54,0.33,2.88,11.254,11.33,12.055,27967.35,26549.17,32506.21,6.85
2022-02-10,11.8,12.23,12.19,11.57,49236.63,0.38,3.22,11.582,11.362,11.993,33150.27,28220.02,31710.57,8.17
2022-02-11,12.2,12.22,11.81,11.71,44351.24,-0.38,-3.12,11.724,11.378,11.953,35530.24,30715.46,30185.64,7.36
2022-02-14,11.81,12.12,11.73,11.71,36337.95,-0.08,-0.68,11.804,11.402,11.894,38154.6,31405.75,30208.29,6.03
2022-02-15,11.79,12.03,11.81,11.52,29596.33,0.08,0.68,11.87,11.487,11.844,40166.94,31485.83,30107.44,4.91
2022-02-16,11.83,12.57,12.46,11.72,84285.29,0.65,5.5,12.0,11.627,11.817,48761.49,38364.42,32733.62,13.98
2022-02-17,12.45,12.89,12.43,11.9,99498.64,-0.03,-0.24,12.048,11.815,11.795,58813.89,45982.08,36566.7,16.51
2022-02-18,12.16,12.56,12.32,11.87,74945.6,-0.11,-0.89,12.15,11.937,11.777,64932.76,50231.5,38876.83,12.43
2022-02-21,12.15,12.96,12.7,12.14,91514.92,0.38,3.08,12.344,12.074,11.77,75968.16,57061.38,42434.34,15.18
2022-02-22,12.52,12.82,12.69,12.33,73953.73,-0.01,-0.08,12.52,12.195,11.789,84839.64,62503.29,43561.75,12.27
2022-02-23,13.15,13.4,12.36,12.32,118726.77,-0.33,-2.6,12.5,12.25,11.79,91727.93,70244.71,48396.94,19.69
2022-02-24,12.01,12.46,11.8,11.6,90832.16,-0.56,-4.53,12.374,12.211,11.787,89994.64,74404.26,51312.14,15.07
2022-02-25,11.88,12.37,11.87,11.82,52788.54,0.07,0.59,12.284,12.217,11.798,85563.22,75247.99,52981.72,8.76
2022-02-28,11.97,12.0,11.84,11.56,34609.89,-0.03,-0.25,12.112,12.228,11.815,74182.22,75075.19,53240.47,5.74
2022-03-01,11.9,11.96,11.83,11.76,26101.36,-0.01,-0.08,11.94,12.23,11.859,64611.74,74725.69,53105.76,4.33
2022-03-02,11.8,12.04,12.01,11.75,29315.35,0.18,1.52,11.87,12.185,11.906,46729.46,69228.7,53796.56,4.86
2022-03-03,12.06,12.15,12.12,11.83,32420.57,0.11,0.92,11.934,12.154,11.985,35047.14,62520.89,54251.49,5.38
2022-03-04,12.04,12.44,12.08,11.94,58681.22,-0.04,-0.33,11.976,12.13,12.034,36225.68,60894.45,55562.98,9.73
2022-03-07,11.99,12.19,11.84,11.74,42975.4,-0.24,-1.99,11.976,12.044,12.059,37898.78,56040.5,56550.94,7.13
2022-03-08,11.85,11.9,11.16,11.11,36490.45,-0.68,-5.74,11.842,11.891,12.043,39976.6,52294.17,57398.73,6.05
2022-03-09,11.19,11.33,10.96,10.46,35027.78,-0.2,-1.79,11.632,11.751,12.001,41119.08,43924.27,57084.49,5.81
2022-03-10,11.2,11.64,11.39,11.19,39332.2,0.43,3.92,11.486,11.71,11.961,42501.41,38774.28,56589.27,6.52
2022-03-11,11.33,11.45,11.42,11.1,24610.01,0.03,0.26,11.354,11.665,11.941,35687.17,35956.42,55602.21,4.08
2022-03-14,11.33,11.37,11.01,11.01,18591.58,-0.41,-3.59,11.188,11.582,11.905,30810.4,34354.59,54714.89,3.08
2022-03-15,10.97,11.08,10.32,10.31,26195.34,-0.69,-6.27,11.02,11.431,11.831,28751.38,34363.99,54544.84,4.35
2022-03-16,10.5,10.75,10.63,10.16,25128.89,0.31,3.0,10.954,11.293,11.739,26771.6,33945.34,51587.02,4.17
2022-03-17,10.74,10.97,10.8,10.62,21837.92,0.17,1.6,10.836,11.161,11.658,23272.75,32887.08,47703.98,3.62
2022-03-18,10.8,11.12,11.07,10.7,19539.28,0.27,2.5,10.766,11.06,11.595,22258.6,28972.89,44933.67,3.24
2022-03-21,11.25,11.48,11.36,11.15,26897.24,0.29,2.62,10.836,11.012,11.528,23919.73,27365.07,41702.78,4.46
2022-03-22,11.25,11.41,11.23,11.2,17319.86,-0.13,-1.14,11.018,11.019,11.455,22144.64,25448.01,38871.09,2.87
2022-03-23,11.23,11.35,11.1,11.08,16861.52,-0.13,-1.16,11.112,11.033,11.392,20491.16,23631.38,33777.83,2.8
2022-03-24,11.19,11.19,10.9,10.88,15364.18,-0.2,-1.8,11.132,10.984,11.347,19196.42,21234.58,30004.43,2.55
2022-03-25,10.9,11.12,10.98,10.9,13815.13,0.08,0.73,11.114,10.94,11.303,18051.59,20155.09,28055.76,2.29
2022-03-28,10.9,11.01,10.86,10.66,11369.14,-0.12,-1.09,11.014,10.925,11.254,14945.97,19432.85,26893.72,1.89
2022-03-29,10.86,10.97,10.69,10.6,24338.79,-0.17,-1.56,10.906,10.962,11.197,16349.75,19247.2,26805.59,4.04
