date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-06-15,9.95,10.0,9.87,9.77,21604.0,-0.13,-1.3,9.87,9.87,9.87,21604.0,21604.0,21604.0,0.64
2021-06-16,9.87,9.9,9.77,9.75,11265.0,-0.1,-1.01,9.82,9.82,9.82,16434.5,16434.5,16434.5,0.34
2021-06-17,9.77,9.86,9.74,9.72,13840.0,-0.03,-0.31,9.793,9.793,9.793,15569.67,15569.67,15569.67,0.41
2021-06-18,9.72,9.72,9.7,9.58,18270.0,-0.04,-0.41,9.77,9.77,9.77,16244.75,16244.75,16244.75,0.54
2021-06-21,9.7,9.76,9.73,9.65,10393.0,0.03,0.31,9.762,9.762,9.762,15074.4,15074.4,15074.4,0.31
2021-06-22,9.73,9.84,9.82,9.73,16916.0,0.09,0.93,9.752,9.772,9.772,14136.8,15381.33,15381.33,0.5
2021-06-23,9.65,9.71,9.63,9.6,12878.57,0.0,0.0,9.724,9.751,9.751,14459.51,15023.8,15023.8,0.38
2021-06-24,9.63,9.67,9.66,9.6,10061.0,0.03,0.31,9.708,9.74,9.74,13703.71,14403.45,14403.45,0.3
2021-06-25,9.66,9.71,9.71,9.64,12147.0,0.05,0.52,9.71,9.737,9.737,12479.11,14152.73,14152.73,0.36
2021-06-28,9.7,9.87,9.71,9.67,11048.0,0.0,0.0,9.706,9.734,9.734,12610.11,13842.26,13842.26,0.33
2021-06-29,9.72,9.73,9.65,9.62,9181.57,-0.06,-0.62,9.672,9.712,9.726,11063.23,12600.01,13418.56,0.27
2021-06-30,9.65,9.67,9.6,9.56,10499.0,-0.05,-0.52,9.666,9.695,9.716,10587.31,12523.41,13175.26,0.31
2021-07-01,9.63,9.65,9.56,9.56,7017.21,-0.04,-0.42,9.646,9.677,9.704,9978.56,11841.14,12701.57,0.21
2021-07-02,9.56,9.57,9.53,9.51,8379.0,-0.03,-0.31,9.61,9.66,9.691,9224.96,10852.04,12392.81,0.25
2021-07-05,9.55,9.59,9.59,9.5,6481.0,0.06,0.63,9.586,9.646,9.685,8311.56,10460.84,11998.69,0.19
2021-07-06,9.59,9.64,9.64,9.54,6907.0,0.05,0.52,9.584,9.628,9.682,7856.64,9459.94,11680.46,0.21
2021-07-07,9.65,9.7,9.65,9.62,9106.66,0.01,0.1,9.594,9.63,9.68,7578.17,9082.74,11529.06,0.27
