date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-06-15,34.15,34.74,33.24,32.93,60957.35,-1.1,-3.2,33.24,33.24,33.24,60957.35,60957.35,60957.35,3.95
2021-06-16,33.04,33.8,32.92,32.86,39727.64,-0.32,-0.96,33.08,33.08,33.08,50342.5,50342.5,50342.5,2.57
2021-06-17,32.98,33.44,32.65,31.93,55033.3,-0.27,-0.82,32.937,32.937,32.937,51906.1,51906.1,51906.1,3.56
2021-06-18,32.62,33.31,33.31,32.12,38445.0,0.66,2.02,33.03,33.03,33.03,48540.82,48540.82,48540.82,2.49
2021-06-21,32.81,34.05,33.87,32.54,45038.01,0.56,1.68,33.198,33.198,33.198,47840.26,47840.26,47840.26,2.92
2021-06-22,34.0,35.2,33.93,33.87,54729.03,0.06,0.18,33.336,33.32,33.32,46594.6,48988.39,48988.39,3.54
2021-06-23,34.06,34.6,33.94,33.45,33044.93,0.01,0.03,33.54,33.409,33.409,45258.05,46710.75,46710.75,2.14
2021-06-24,34.25,34.25,33.68,33.25,29496.67,-0.26,-0.77,33.746,33.443,33.443,40150.73,44558.99,44558.99,1.84
2021-06-25,33.32,34.9,34.34,32.88,54884.08,0.66,1.96,33.952,33.542,33.542,43438.54,45706.22,45706.22,3.42
2021-06-28,34.5,34.59,34.34,33.8,37252.01,0.0,0.0,34.046,33.622,33.622,41881.34,44860.8,44860.8,2.32
2021-06-29,34.4,35.56,34.71,34.18,52331.18,0.37,1.08,34.202,33.769,33.721,41401.77,43998.19,45539.93,3.26
2021-06-30,34.48,37.0,36.51,34.4,75046.68,1.8,5.19,34.716,34.128,33.953,49802.12,47530.09,47998.82,4.68
2021-07-01,36.3,39.4,38.88,35.61,104917.15,2.37,6.49,35.756,34.751,34.332,64886.22,52518.47,52377.16,6.54
2021-07-02,38.27,39.0,37.83,37.48,60019.29,-1.05,-2.7,36.454,35.203,34.582,65913.26,54675.9,52923.02,3.74
2021-07-05,37.72,39.15,38.75,37.4,51356.34,0.92,2.43,37.336,35.691,34.86,68734.13,55307.74,52818.58,3.2
2021-07-06,38.79,38.92,37.65,37.16,41973.0,-1.1,-2.84,37.924,36.063,35.034,66662.49,54032.13,52140.73,2.62
2021-07-07,37.55,38.2,36.88,36.75,38709.66,-0.77,-2.04,37.998,36.357,35.143,59395.09,54598.61,51350.67,2.41
2021-07-08,37.16,37.45,35.94,35.78,44697.0,-0.94,-2.55,37.41,36.583,35.187,47351.06,56118.64,50981.02,2.79
2021-07-09,36.38,37.33,37.14,35.7,37949.78,1.2,3.34,37.272,36.863,35.29,42937.16,54425.21,50295.16,2.36
2021-07-12,37.0,37.78,36.35,36.3,38901.23,-0.79,-2.13,36.792,37.064,35.343,40446.13,54590.13,49725.47,2.42
2021-07-13,36.18,36.93,36.53,35.98,27664.0,0.18,0.49,36.568,37.246,35.508,37584.33,52123.41,48060.8,1.72
2021-07-14,36.64,37.41,36.61,36.01,35257.29,0.08,0.22,36.514,37.256,35.692,36893.86,48144.47,47837.28,2.2
2021-07-15,36.0,36.3,35.35,34.61,45609.0,-1.26,-3.44,36.396,36.903,35.827,37076.26,42213.66,47366.07,2.84
2021-07-16,35.33,37.08,36.79,35.33,42231.62,1.44,4.07,36.326,36.799,36.001,37932.63,40434.89,47555.4,2.63
2021-07-19,36.6,36.6,36.3,35.89,45961.0,-0.48,-1.3,36.316,36.554,36.123,39344.58,39895.36,47601.55,2.86
2021-07-20,35.81,36.25,35.89,35.05,36142.0,-0.41,-1.13,36.188,36.378,36.221,41040.18,39312.26,46672.2,2.25
2021-07-21,35.44,36.07,35.09,35.0,34732.27,-0.8,-2.23,35.884,36.199,36.278,40935.18,38914.52,46756.56,2.16
2021-07-22,35.09,36.39,35.76,34.83,34120.0,0.67,1.91,35.966,36.181,36.382,38637.38,37856.82,46987.73,2.13
2021-07-23,35.43,35.7,34.0,33.83,49039.55,-1.76,-4.92,35.408,35.867,36.365,39998.96,38965.8,46695.5,3.06
2021-07-26,33.76,34.54,33.99,33.34,33757.74,-0.01,-0.03,34.946,35.631,36.348,37558.31,38451.45,46520.79,2.1
2021-07-27,34.33,34.92,33.83,33.57,35947.91,-0.16,-0.47,34.534,35.361,36.304,37519.49,39279.84,45701.63,2.24
2021-07-28,34.05,34.2,32.13,31.88,36720.03,-1.7,-5.03,33.942,34.913,36.085,37917.05,39426.11,43785.29,2.29
2021-07-29,32.5,32.94,31.9,31.61,30674.45,-0.23,-0.72,33.17,34.568,35.736,37227.94,37932.66,40073.16,1.91
2021-07-30,31.5,32.32,31.41,31.28,31118.45,-0.49,-1.54,32.652,34.03,35.415,33643.72,36821.34,38628.12,1.94
2021-08-02,31.45,32.3,32.3,30.36,55937.95,0.89,2.83,32.314,33.63,35.092,38079.76,37819.04,38857.2,3.49
2021-08-03,32.01,32.09,31.1,31.01,43250.15,-1.2,-3.71,31.768,33.151,34.765,39540.21,38529.85,38921.05,2.7
2021-08-04,31.2,32.35,31.23,30.38,59262.24,0.13,0.42,31.588,32.765,34.482,44048.65,40982.85,39948.68,3.69
2021-08-05,31.1,31.1,29.32,29.32,60159.25,-1.91,-6.12,31.072,32.121,34.151,49945.61,43586.77,40721.8,3.75
2021-08-06,29.17,29.97,28.94,28.72,45824.31,-0.38,-1.3,30.578,31.615,33.741,52886.78,43265.25,41115.52,2.86
2021-08-09,28.61,30.33,29.65,28.6,35179.61,0.71,2.45,30.048,31.181,33.406,48735.11,43407.44,40929.44,2.19
2021-08-10,29.45,29.99,29.84,29.33,32201.29,0.19,0.64,29.796,30.782,33.072,46525.34,43032.77,41156.31,2.01
2021-08-11,29.85,31.99,30.77,29.8,68397.53,0.93,3.12,29.704,30.646,32.78,48352.4,46200.52,42813.32,4.26
2021-08-12,30.77,30.78,29.93,29.88,38226.22,-0.84,-2.73,29.826,30.449,32.509,43965.79,46955.7,42444.18,2.38
2021-08-13,29.9,30.33,30.2,29.22,35034.73,0.27,0.9,30.078,30.328,32.179,41807.88,47347.33,42084.33,2.18
2021-08-16,30.05,31.26,30.94,29.53,42071.28,0.74,2.45,30.336,30.192,31.911,43186.21,45960.66,41889.85,2.62
