date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2023-12-08,35.04,40.26,40.26,35.04,161234.41,6.71,20.0,33.85,33.958,34.564,77767.16,68561.32,60230.19,19.7
2023-12-07,31.27,34.88,33.55,31.27,112774.24,2.35,7.53,32.524,33.251,34.383,57077.47,56545.09,54344.38,13.78
2023-12-06,31.33,32.12,31.2,31.11,30304.88,-0.15,-0.48,32.462,33.368,34.568,45500.1,50169.04,52700.26,3.7
2023-12-05,32.86,32.88,31.35,31.21,43340.23,-1.54,-4.68,33.1,33.559,34.84,51959.97,51248.57,54608.66,5.3
2023-12-04,33.7,33.7,32.89,32.7,41182.06,-0.74,-2.2,33.684,33.898,35.096,54130.5,52146.12,57043.57,5.03
2023-12-01,33.48,33.88,33.63,32.6,57785.92,0.39,1.17,34.066,34.192,35.237,59355.47,54018.29,59972.06,7.06
2023-11-30,34.18,34.39,33.24,32.8,54887.43,-1.15,-3.34,33.978,34.355,35.101,56012.71,52909.04,58954.01,6.71
2023-11-29,34.1,35.85,34.39,33.87,62604.21,0.12,0.35,34.274,34.498,34.901,54837.98,51961.66,57471.92,7.65
2023-11-28,34.8,34.99,34.27,33.8,54192.88,-0.53,-1.52,34.018,34.606,34.671,50537.16,53572.33,55685.92,6.62
2023-11-27,33.39,35.66,34.8,33.39,67306.93,1.61,4.85,34.112,34.941,34.479,50161.73,53754.15,54925.3,8.22
2023-11-24,34.79,34.95,33.19,32.96,41072.1,-1.53,-4.41,34.318,35.17,34.311,48681.11,51899.05,54046.44,5.02
2023-11-23,33.39,35.24,34.72,32.33,49013.77,1.61,4.86,34.732,35.514,34.162,49805.36,52143.67,53970.51,5.99
2023-11-22,34.54,34.95,33.11,32.99,41100.12,-1.63,-4.69,34.722,35.767,33.902,49085.33,55231.47,52942.45,5.02
2023-11-21,35.9,36.3,34.74,34.52,52315.74,-1.09,-3.04,35.194,36.12,33.731,56607.5,57968.76,52251.71,6.39
2023-11-20,35.34,36.44,35.83,35.0,59903.84,0.57,1.62,35.77,36.294,33.484,57346.56,61941.03,51953.53,7.32
2023-11-17,34.8,35.29,35.26,34.09,46693.33,0.59,1.7,36.022,36.281,33.144,55116.99,65925.82,51097.57,5.71
2023-11-16,35.57,35.85,34.67,34.58,45413.63,-0.8,-2.25,36.296,35.847,32.933,54481.98,64998.98,50099.07,5.55
2023-11-15,37.62,37.91,35.47,34.9,78710.96,-2.15,-5.71,36.812,35.304,32.826,61377.61,62982.19,49165.01,9.62
2023-11-14,36.98,38.45,37.62,36.29,56011.04,0.53,1.43,37.046,34.736,32.689,59330.02,57799.5,46748.04,6.84
2023-11-13,36.76,37.8,37.09,36.22,48756.01,0.46,1.26,36.818,34.017,32.471,66535.5,56096.44,45714.11,5.96
2023-11-10,37.46,38.15,36.63,36.51,43518.28,-0.62,-1.66,36.54,33.452,32.321,76734.65,56193.83,45081.85,5.32
2023-11-09,36.94,37.98,37.25,36.37,79891.78,0.61,1.67,35.398,32.81,32.266,75515.97,55797.35,44925.03,9.76
2023-11-08,36.84,37.58,36.64,36.2,68472.98,0.16,0.44,33.796,32.036,32.143,64586.77,50653.42,43489.25,8.37
2023-11-07,35.59,37.19,36.48,35.05,92038.46,0.78,2.19,32.426,31.341,32.153,56268.99,46534.66,42632.52,11.25
2023-11-06,31.54,36.3,35.7,31.53,99751.74,4.78,15.46,31.216,30.674,32.12,45657.39,41966.03,39963.3,12.19
2023-11-03,29.42,31.3,30.92,29.4,37424.9,1.68,5.75,30.364,30.006,32.134,35653.01,36269.31,36930.59,4.57
2023-11-02,29.85,30.58,29.24,29.24,25245.79,-0.55,-1.85,30.222,30.018,32.427,36078.72,35199.16,38669.16,3.08
2023-11-01,30.39,30.92,29.79,29.69,26884.04,-0.64,-2.1,30.276,30.348,32.703,36720.07,35347.82,39728.55,3.28
2023-10-31,31.11,31.42,30.43,29.9,38980.46,-1.01,-3.21,30.256,30.641,33.022,36800.33,35696.58,41236.21,4.76
2023-10-30,29.97,31.64,31.44,29.51,49729.86,1.23,4.07,30.132,30.925,33.337,38274.67,35331.78,42515.99,6.08
2023-10-27,29.39,30.8,30.21,28.66,39553.45,0.7,2.37,29.648,31.19,33.615,36885.62,33969.88,43517.97,4.83
2023-10-26,29.51,30.02,29.51,29.0,28452.56,-0.18,-0.61,29.814,31.722,33.836,34319.6,34052.71,43522.0,3.48
2023-10-25,30.06,30.32,29.69,29.4,27285.32,-0.12,-0.4,30.42,32.25,34.069,33975.57,36325.08,44064.51,3.33
2023-10-24,29.16,30.3,29.81,28.23,46352.14,0.79,2.72,31.026,32.964,34.341,34592.82,38730.38,45959.74,5.66
2023-10-23,30.5,30.97,29.02,28.67,42784.62,-2.02,-6.51,31.718,33.565,34.674,32388.88,37960.57,47351.47,5.23
2023-10-20,32.28,32.95,31.04,30.91,26723.38,-1.5,-4.61,32.732,34.261,35.206,31054.14,37591.86,48856.34,3.27
2023-10-19,32.26,33.6,32.54,32.26,26732.39,-0.18,-0.55,33.63,34.836,35.597,33785.81,42139.16,51880.58,3.27
2023-10-18,33.5,33.73,32.72,32.46,30371.57,-0.55,-1.65,34.08,35.058,35.996,38674.59,44109.27,55138.22,3.71
2023-10-17,33.72,34.16,33.27,32.51,35332.46,-0.82,-2.4,34.902,35.402,36.505,42867.94,46775.85,59305.93,4.32
2023-10-16,36.0,36.45,34.09,33.7,36110.9,-1.44,-4.05,35.412,35.749,36.944,43532.26,49700.21,64117.09,4.41
2023-10-13,34.81,36.2,35.53,34.48,40381.74,0.74,2.13,35.79,36.04,37.332,44129.57,53066.05,69215.93,4.93
2023-10-12,37.09,37.4,34.79,34.5,51176.28,-2.04,-5.54,36.042,35.95,37.46,50492.52,52991.29,71305.47,6.25
2023-10-11,35.99,37.79,36.83,35.68,51338.33,1.01,2.82,36.036,35.888,37.751,49543.95,51803.94,74502.93,6.27
2023-10-10,36.25,36.86,35.82,35.36,38654.04,-0.16,-0.45,35.902,35.717,37.699,50683.75,53189.1,73468.37,4.72
2023-10-09,36.69,36.85,35.98,35.49,39097.47,-0.81,-2.2,36.086,35.783,37.711,55868.15,56742.37,73278.18,4.78
2023-09-28,35.2,37.79,36.79,35.16,72196.46,2.03,5.84,36.29,36.15,37.723,62002.53,60120.83,73616.49,8.82
