date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2022-01-04,25.21,25.7,24.9,24.82,84983.95,0.34,1.38,24.714,24.869,25.452,61669.46,80092.03,116686.11,2.36
2022-01-05,24.7,24.87,23.89,23.61,103939.96,-1.01,-4.06,24.51,24.747,25.386,69069.65,79313.66,117840.39,2.89
2022-01-06,23.71,24.25,24.04,23.61,54128.81,0.15,0.63,24.412,24.628,25.312,69397.22,76102.22,115807.21,1.5
2022-01-07,24.14,24.28,23.5,23.5,55424.36,-0.54,-2.25,24.178,24.51,25.157,69993.69,73136.69,110305.2,1.54
2022-01-10,23.68,23.79,23.78,23.05,44926.23,0.28,1.19,24.022,24.345,25.047,68680.66,64874.96,107482.6,1.25
2022-01-11,23.56,23.87,23.17,23.12,51350.73,-0.61,-2.56,23.676,24.195,24.918,61954.02,61811.74,106416.1,1.43
2022-01-12,24.47,24.75,23.94,23.93,122050.02,0.77,3.32,23.686,24.098,24.826,65576.03,67322.84,109974.4,3.39
2022-01-13,23.63,23.9,23.43,23.34,69726.41,-0.51,-2.13,23.564,23.988,24.622,68695.55,69046.38,90925.26,1.94
2022-01-14,23.4,23.84,23.46,23.3,45384.51,0.03,0.13,23.556,23.867,24.457,66687.58,68340.63,79905.0,1.26
2022-01-17,23.3,24.09,23.86,23.3,60727.88,0.4,1.71,23.572,23.797,24.355,69847.91,69264.29,75048.74,1.69
2022-01-18,23.8,24.32,23.97,23.71,69358.9,0.11,0.46,23.732,23.704,24.287,73449.54,67701.78,73896.9,1.93
2022-01-19,23.82,23.88,23.44,23.42,46459.31,-0.53,-2.21,23.632,23.659,24.203,58331.4,61953.72,70633.69,1.29
2022-01-20,23.35,23.56,22.63,22.62,62280.36,-0.81,-3.46,23.472,23.518,24.073,56842.19,62768.87,69435.55,1.73
2022-01-21,22.96,23.19,22.76,22.56,35175.28,0.13,0.57,23.332,23.444,23.977,54800.35,60743.96,66940.33,0.98
2022-01-24,23.0,23.52,22.86,22.85,37705.54,0.1,0.44,23.132,23.352,23.849,50195.88,60021.89,62448.43,1.05
2022-01-25,22.83,22.83,21.84,21.81,50704.77,-1.02,-4.46,22.706,23.219,23.707,46465.05,59957.3,60884.52,1.27
2022-01-26,22.0,22.1,21.61,21.37,34238.9,-0.23,-1.05,22.34,22.986,23.542,44020.97,51176.19,59249.51,0.86
2022-01-27,21.5,21.68,20.94,20.94,38689.37,-0.67,-3.1,22.002,22.737,23.363,39302.77,48072.48,58559.43,0.97
2022-01-28,21.01,21.4,21.07,20.91,33902.69,0.13,0.62,21.664,22.498,23.183,39048.25,46924.3,57632.47,0.85
2022-02-07,21.5,22.29,21.84,21.47,48847.52,0.77,3.65,21.46,22.296,23.047,41276.65,45736.26,57500.28,1.23
2022-02-08,21.84,22.08,22.06,21.62,35384.67,0.22,1.01,21.504,22.105,22.905,38212.63,42338.84,55020.31,0.89
2022-02-09,21.91,22.33,22.31,21.81,44422.09,0.25,1.13,21.644,21.992,22.826,40249.27,42135.12,52044.42,1.12
2022-02-10,22.1,22.1,21.33,21.25,72563.0,-0.98,-4.39,21.722,21.862,22.69,47023.99,43163.38,52966.13,1.82
2022-02-11,21.45,21.71,21.14,20.95,53461.15,-0.19,-0.89,21.736,21.7,22.572,50935.69,44991.97,52867.97,1.34
2022-02-14,20.95,21.67,21.15,20.61,58276.57,0.01,0.05,21.598,21.529,22.441,52821.5,47049.07,53535.48,1.2
2022-02-15,21.17,21.63,21.34,21.12,43762.1,0.19,0.9,21.454,21.479,22.349,54496.98,46354.81,53156.05,0.9
2022-02-16,21.68,21.9,21.76,21.43,57165.05,0.42,1.97,21.344,21.494,22.24,57045.57,48647.42,49911.8,1.18
2022-02-17,21.56,21.86,21.5,21.4,42608.26,-0.26,-1.2,21.378,21.55,22.144,51054.63,49039.31,48555.9,0.88
2022-02-18,21.2,21.69,21.67,21.18,30792.75,0.17,0.79,21.484,21.61,22.054,46520.95,48728.32,47826.31,0.63
2022-02-21,21.5,21.84,21.8,21.48,41973.66,0.13,0.6,21.614,21.606,21.951,43260.36,48040.93,46888.6,0.86
2022-02-22,21.65,22.33,21.91,21.2,82103.55,0.11,0.51,21.728,21.591,21.848,50928.65,52712.82,47525.83,1.69
2022-02-23,21.82,22.89,22.75,21.81,114267.34,0.84,3.83,21.926,21.635,21.814,62349.11,59697.34,50916.23,2.35
2022-02-24,22.52,22.72,22.22,21.81,96505.47,-0.53,-2.33,22.07,21.724,21.793,73128.55,62091.59,52627.49,1.99
2022-02-25,22.4,22.77,22.27,22.12,57277.38,0.05,0.23,22.19,21.837,21.769,78425.48,62473.21,53732.59,1.18
2022-02-28,22.18,22.25,22.17,21.84,40732.04,-0.1,-0.45,22.264,21.939,21.734,78177.16,60718.76,53883.92,0.84
2022-03-01,22.36,22.39,22.2,22.01,33795.25,0.03,0.14,22.322,22.025,21.752,68515.5,59722.08,53038.44,0.7
2022-03-02,22.0,22.12,21.97,21.88,30762.35,-0.23,-1.04,22.166,22.046,21.77,51814.5,57081.81,52864.61,0.63
2022-03-03,22.04,22.37,21.82,21.75,47700.75,-0.15,-0.68,22.086,22.078,21.814,42053.55,57591.05,53315.18,0.98
2022-03-04,21.75,22.3,21.84,21.64,46792.2,0.02,0.09,22.0,22.095,21.853,39956.52,59191.0,53959.66,0.96
2022-03-07,21.66,21.66,20.96,20.81,49462.82,-0.88,-4.03,21.758,22.011,21.809,41702.67,59939.92,53990.42,1.02
2022-03-08,20.92,20.94,18.09,17.97,307201.28,-2.87,-13.69,20.936,21.629,21.61,96383.88,82449.69,67581.25,5.32
2022-03-09,18.0,18.33,17.65,17.12,135132.33,-0.44,-2.43,20.072,21.119,21.377,117257.88,84536.19,72116.77,2.34
2022-03-10,18.03,18.72,17.94,17.9,141773.64,0.29,1.64,19.296,20.691,21.208,136072.45,89063.0,75577.3,2.46
2022-03-11,17.5,18.15,18.13,17.2,88138.08,0.19,1.06,18.554,20.277,21.057,144341.63,92149.07,77311.14,1.53
2022-03-14,17.81,17.96,17.49,17.49,77870.0,-0.64,-3.53,17.86,19.809,20.874,150023.07,95862.87,78290.82,1.35
2022-03-15,17.27,17.44,16.46,16.36,127111.17,-1.03,-5.89,17.534,19.235,20.63,114005.04,105194.46,82458.27,2.2
2022-03-16,16.86,17.24,17.1,16.06,144466.2,0.64,3.89,17.424,18.748,20.397,115871.82,116564.85,86823.33,2.5
2022-03-17,17.3,18.56,17.98,17.25,175223.52,0.88,5.15,17.432,18.364,20.221,122561.79,129317.12,93454.09,3.04
2022-03-18,17.71,18.18,18.01,17.68,93331.97,0.03,0.17,17.408,17.981,20.038,123600.57,133971.1,96581.05,1.62
2022-03-21,18.0,18.48,18.34,17.93,101660.77,0.33,1.83,17.578,17.719,19.865,128358.73,139190.9,99565.41,1.76
2022-03-22,18.1,18.3,18.06,17.9,73934.99,-0.28,-1.53,17.898,17.716,19.673,117723.49,115864.27,99156.98,1.28
2022-03-23,18.15,18.53,18.23,17.94,84494.45,0.17,0.94,18.124,17.774,19.447,105729.14,110800.48,97668.33,1.46
2022-03-24,18.24,18.47,17.95,17.92,95055.08,-0.28,-1.54,18.118,17.775,19.233,89695.45,106128.62,97595.81,1.65
2022-03-25,18.02,18.68,18.0,17.96,95195.82,0.05,0.28,18.116,17.762,19.02,90068.22,106834.4,99491.74,1.65
2022-03-28,17.83,17.98,17.77,17.53,68690.45,-0.23,-1.28,18.002,17.79,18.8,83474.16,105916.44,100889.66,1.19
2022-03-29,17.98,18.57,17.89,17.58,146055.62,0.12,0.68,17.968,17.933,18.584,97898.28,107810.89,106502.67,2.53
2022-03-30,18.03,18.1,17.98,17.59,138871.72,0.09,0.5,17.918,18.021,18.385,108773.74,107251.44,111908.14,2.41
2022-03-31,17.5,17.98,17.65,17.38,105381.56,-0.33,-1.83,17.858,17.988,18.176,110839.03,100267.24,114792.18,1.83
2022-04-01,17.67,18.12,17.87,17.52,82474.07,0.22,1.25,17.832,17.974,17.978,108294.68,99181.45,116576.28,1.43
2022-04-06,18.24,18.3,17.82,17.72,84259.17,-0.05,-0.28,17.842,17.922,17.821,111408.43,97441.29,118316.09,1.46
2022-04-07,17.74,17.84,17.19,17.11,71224.0,-0.63,-3.54,17.702,17.835,17.776,96442.1,97170.19,106517.23,1.23
2022-04-08,17.3,17.43,17.04,16.62,77919.14,-0.15,-0.87,17.514,17.716,17.745,84251.59,96512.66,103656.57,1.35
2022-04-11,16.91,17.05,16.2,16.06,74744.6,-0.84,-4.93,17.224,17.541,17.658,78124.2,94481.62,100305.12,1.3
2022-04-12,15.99,16.42,16.33,15.86,62673.55,0.13,0.8,16.916,17.374,17.568,74164.09,91229.39,99031.89,1.09
2022-04-13,16.2,16.2,15.66,15.66,54470.8,-0.67,-4.1,16.484,17.163,17.477,68206.42,89807.42,97861.93,0.94
